Title,Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,Streaming Service,JustWatch URL
 Red Swan ,2024,"Action & Adventure, Drama, Romance",6.6,1h 0min,,"Korea, Republic of",Hotstar,https://www.justwatch.com/in/tv-show/red-swan
 The Wire ,2002,"Crime, Drama, Mystery & Thriller",9.3,59min,,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/the-wire
 Lucifer ,2016,"Crime, Science-Fiction, Drama, Fantasy",8.1,47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/lucifer
 Dark Desire ,2020,"Mystery & Thriller, Drama",6.5,34min,,Mexico,Netflix,https://www.justwatch.com/in/tv-show/dark-desire
 Yellowstone ,2018,"Drama, Western",8.7,50min,,United States,Netflix,https://www.justwatch.com/in/tv-show/yellowstone
Rising Impact - Season 2 ,2024,"Drama, Animation, Sport",7.5,27min,,Japan,Unavailable,https://www.justwatch.com/in/tv-show/rising-impact/season-2
The Umbrella Academy - Season 4 ,2023,"Comedy, Drama, Fantasy, Science-Fiction, Action & Adventure",7.9,53min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/the-umbrella-academy/season-4
Yo Gabba Gabba! - Season 4 ,2011,"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9,24min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-4
Yo Gabba Gabba! - Season 1 ,2007,"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9,24min,,United States,Unavailable,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-1
Yo Gabba Gabba! - Season 18 ,2007,"Animation, Kids & Family, Music & Musical, Comedy, Drama",6.9,,,United States,Unavailable,https://www.justwatch.com/in/tv-show/yo-gabba-gabba/season-18
