titles_years,genres,ratings,streamings,justwatchs
 Siddharth Roy (2024),"Drama, Romance",7.4 (1.9k),"Currently you are able to watch ""Siddharth Roy"" streaming on aha. ",https://www.justwatch.com/in/movie/siddharth-roy
 Hereditary (2018),"Horror, Mystery & Thriller, Drama",7.3 (388k),"Currently you are able to watch ""Hereditary"" streaming on Amazon Prime Video, MUBI, VI movies and tv, MUBI Amazon Channel. ",https://www.justwatch.com/in/movie/hereditary
 The Unbearable Weight of Massive Talent (2022),"Action & Adventure, Comedy, Crime, Mystery & Thriller",7.0 (157k),"Currently you are able to watch ""The Unbearable Weight of Massive Talent"" streaming on Netflix, Lionsgate Play. It is also possible to buy ""The Unbearable Weight of Massive Talent"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/the-unbearable-weight-of-massive-talent
 Weapon (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",7.7 (5.2k),"Currently you are able to watch ""Weapon"" streaming on Amazon Prime Video, aha. ",https://www.justwatch.com/in/movie/weapon-2024
 Challengers (2024),"Romance, Drama, Sport, Comedy",7.2 (85k),Unavalilabe,https://www.justwatch.com/in/movie/challengers
 Harry Potter and the Philosopher's Stone (2001),"Fantasy, Action & Adventure, Kids & Family",7.6 (865k),"Currently you are able to watch ""Harry Potter and the Philosopher's Stone"" streaming on Jio Cinema. It is also possible to buy ""Harry Potter and the Philosopher's Stone"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Google Play Movies, YouTube, Tata Play online. ",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
 Hridayam (2022),"Drama, Romance",8.1 (16k),"Currently you are able to watch ""Hridayam"" streaming on Hotstar. ",https://www.justwatch.com/in/movie/hridayam
 The Wolf of Wall Street (2013),"Comedy, Crime, Drama",8.2 (2m),"Currently you are able to watch ""The Wolf of Wall Street"" streaming on Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel. It is also possible to buy ""The Wolf of Wall Street"" on Google Play Movies, YouTube as download or rent it on Amazon Video, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/the-wolf-of-wall-street
 Exhuma (2024),"Horror, Mystery & Thriller",6.9 (13k),Unavalilabe,https://www.justwatch.com/in/movie/exhuma
 Jawan (2023),"Action & Adventure, Mystery & Thriller, Crime, Drama",7.0 (98k),"Currently you are able to watch ""Jawan"" streaming on Netflix. It is also possible to buy ""Jawan"" on Apple TV, Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube, Apple TV online. ",https://www.justwatch.com/in/movie/jawan
 Bramayugam (2024),"Drama, Horror, Mystery & Thriller",7.9 (10k),"Currently you are able to watch ""Bramayugam"" streaming on Sony Liv. ",https://www.justwatch.com/in/movie/bramayugam
 Kill (2011),"Mystery & Thriller, Comedy, Horror",4.4 (129),Unavalilabe,https://www.justwatch.com/in/movie/kill
 A Quiet Place (2018),"Science-Fiction, Horror, Drama",7.5 (600k),"Currently you are able to watch ""A Quiet Place"" streaming on Netflix, Amazon Prime Video, Jio Cinema. It is also possible to buy ""A Quiet Place"" on Google Play Movies, YouTube, Apple TV as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online. ",https://www.justwatch.com/in/movie/a-quiet-place
 Tumbbad (2018),"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe",8.2 (61k),Unavalilabe,https://www.justwatch.com/in/movie/tumbbad
 Kakuda (2024),"Comedy, Horror",,"Currently you are able to watch ""Kakuda"" streaming on Zee5. ",https://www.justwatch.com/in/movie/kakuda
 Vanished into the Night (2024),"Mystery & Thriller, Drama",5.2 (3.1k),"Currently you are able to watch ""Vanished into the Night"" streaming on Netflix. ",https://www.justwatch.com/in/movie/vanished-into-the-night
 Chandni Chowk to China (2009),"Action & Adventure, Comedy, Drama, Fantasy",4.3 (9.6k),Unavalilabe,https://www.justwatch.com/in/movie/chandni-chowk-to-china
 Madgaon Express (2024),"Drama, Comedy",7.1 (37k),"Currently you are able to watch ""Madgaon Express"" streaming on Amazon Prime Video or rent it on Amazon Video online. ",https://www.justwatch.com/in/movie/madgaon-express
